NUMBER,HSN_CODE,NAME_OF_COMMODITY,CHAPTER_NO,SUB_CHAPTER,GST_PERCENTAGE_INDIA
4990,5607.21.00,Binder or bale twine of sisal,56,yet to be notifed,--
4991,5607.29.00,"Cordage, rope and cables of sisal",56,yet to be notifed,--
4992,5607.30.00,"Twine, cordage, rope and cables of abaca or other hard fibres",56,yet to be notifed,--
4993,5607.41.00,Binder or bale twine of polyethylene or polypropylene,56,yet to be notifed,--
4994,5607.49.00,"Twine, cordage, rope and cables of polyethylene or polypropylene (Other fishing twines and ropes)",56,yet to be notifed,--
4995,5607.50.00,"Twine, cordage, rope and cables of other synthetic fibres",56,yet to be notifed,--
4996,5607.50.10,Nylon fish net twine,56,yet to be notifed,--
4997,5607.50.40,Nylon Rope,56,yet to be notifed,--
4998,5607.50.90,"Polyester Rope, Polyester twine",56,yet to be notifed,--
4999,5607.90.00,"Other twine, cordage, rope and cables",56,yet to be notifed,--
5000,5608.00.00,"Knotted net of twine etc, fish net etc of textiles",56,yet to be notifed,--
5001,5608.11.00,Made up fishing nets of man-made textile materials,56,yet to be notifed,--
5002,5608.11.10,Made up fishing nets of nylon,56,yet to be notifed,--
5003,5608.11.90,Fish nets of other material,56,yet to be notifed,--
5004,5608.19.00,Other made up nets of man-made textile materials,56,yet to be notifed,--
5005,5608.90.00,"Knotted netting of twine, cordage or rope",56,yet to be notifed,--
5006,5609.00.00,Art of yarn like of head 5404/5405 twine or cable nesoi,56,yet to be notifed,--
5007,5609.00.00,"Article of yarn, strip or the like of artificial textile materials, rope",56,yet to be notifed,--
5008,570.500.00,Other carpets and other textile floor coverings,57,yet to be notifed,--
5009,5701.00.00,"Carpets & other textile floor coverings, knotted",57,yet to be notifed,--
5010,5701.10.00,"Carpets and floor coverings, knotted, of wool or fine animal hair",57,yet to be notifed,--
5011,5701.90.00,"Carpets and floor coverings, knotted, of other textile materials",57,yet to be notifed,--
5012,5701.90.10,"Carpets and floor coverings, knotted, of cotton",57,yet to be notifed,--
5013,5701.90.90,"Carpets and floor coverings, knotted, of other textile materials",57,yet to be notifed,--
5014,5702.00.00,"Carpets & other text floor cover, woven, no tuft etc",57,yet to be notifed,--
5015,5702.10.00,"Kelem, schumacks, karamanie and similar hand-woven rugs",57,yet to be notifed,--
5016,5702.20.00,"Floor coverings of coconut fibres (coir), woven",57,yet to be notifed,--
5017,5702.31.00,"Carpets and floor coverings of wool, of pile construction, not made up",57,yet to be notifed,--
5018,5702.32.00,"Carpets and floor coverings of man-made textile materials, not made up",57,yet to be notifed,--
5019,5702.39.00 ,"Carpets and floor coverings of other textile materials, not made up",57,yet to be notifed,--
5020,5702.41.00,"Carpets and floor coverings of wool, of pile construction, made up",57,yet to be notifed,--
5021,5702.42.00,"Carpets and floor coverings of man-made textile materials, made up",57,yet to be notifed,--
5022,5702.49.00,"Carpets and floor coverings of other textile materials, made up",57,yet to be notifed,--
5023,5702.51.00,"Carpets and floor coverings of wool, not of pile construction, not made up",57,yet to be notifed,--
5024,5702.52.00,"Carpets and floor coverings of man-made textile materials, not made up",57,yet to be notifed,--
5025,5702.59.00,"Carpets and floor coverings of other textile materials, not made up",57,yet to be notifed,--
5026,5702.91.00,"Carpets and floor coverings of wool, not of pile construction, made up",57,yet to be notifed,--
5027,5702.92.00,"Carpets and floor coverings of man-made textile materials, made up",57,yet to be notifed,--
5028,5702.99.00,"Carpets and floor coverings of other textile materials, made up",57,yet to be notifed,--
5029,5703.00.00,"Carpets & other textile floor coverings, tufted",57,yet to be notifed,--
5030,5703.10.00,"Carpets and floor coverings of wool or fine animal hair, tufted",57,yet to be notifed,--
5031,5703.20.00,"Carpets and floor coverings of polyamides, tufted",57,yet to be notifed,--
5032,5703.30.00,"Carpets and floor coverings of other man-made textile materials, tufted",57,yet to be notifed,--
5033,5703.90.00,"Carpets and floor coverings of other textile materials, tufted",57,yet to be notifed,--
5034,5704.00.00,"Carpets & other text floor cover, felt, no tuft etc",57,yet to be notifed,--
5035,5704.10.00,"Tiles, having a maximum surface area of 0.3m2, of felt",57,yet to be notifed,--
5036,5704.90.00,"Other carpets and other textile floor coverings, of felt",57,yet to be notifed,--
5037,5705.00.00,"Other carpets & other tex floor cov, whethr/not made-up",57,yet to be notifed,--
5038,5801.00.00 ,Woven pile & chenille fabrics nesoi (no terry etc),58,yet to be notifed,--
5039,5801.10.00,Woven pile fabrics and chenille fabrics of wool or fine animal hair,58,yet to be notifed,--
5040,5801.21.00,Uncut weft pile fabrics of cotton,58,yet to be notifed,--
5041,5801.22.00,Cut corduroy of cotton,58,yet to be notifed,--
5042,5801.23.00,Other weft pile fabrics of cotton,58,yet to be notifed,--
5043,5801.24.00,"Warp pile fabrics, uncut, of cotton",58,yet to be notifed,--
5044,5801.25.00,"Warp pile fabrics, cut, of cotton",58,yet to be notifed,--
5045,5801.26.00,Chenille fabrics of cotton,58,yet to be notifed,--
5046,5801.31.00,Uncut weft pile fabrics of man-made fibres,58,yet to be notifed,--
5047,5801.32.00,Cut corduroy of man-made fibres,58,yet to be notifed,--
5048,5801.33.00,Other weft pile fabrics of man-made fibres,58,yet to be notifed,--
5049,5801.34.00,"Warp pile fabrics, uncut, of man-made fibres",58,yet to be notifed,--
5050,5801.35.00,"Warp pile fabrics, cut, of man-made fibres",58,yet to be notifed,--
5051,5801.36.00,Chenille fabrics of man-made fibres,58,yet to be notifed,--
5052,5801.90.00,Pile fabrics and chenille fabrics of other textile materials,58,yet to be notifed,--
5053,5802.00.00,"Woven terry fabrics nesoi, tufted tex fabric nesoi",58,yet to be notifed,--
5054,5802.11.00,"Unbleached terry towelling and similar woven terry fabrics, of cotton580219 other terry towelling and similar woven terry fabrics, of cotton",58,yet to be notifed,--
5055,5802.20.00,Terry towelling of other textile materials,58,yet to be notifed,--
5056,5802.30.00,Tufted textile fabrics,58,yet to be notifed,--
5057,5803.00.00,Gauze (other than narrow fabrics not over 30 cm),58,yet to be notifed,--
5058,5803.10.00,Gauze of cotton,58,yet to be notifed,--
5059,5803.90.00,Gauze of other textile materials,58,yet to be notifed,--
5060,5804.00.00,"Tulles & other net fabrics, lace in pc, strip etc.",58,yet to be notifed,--
5061,5804.10.00,"Tulles and other net fabrics, not including woven, knitted or crocheted",58,yet to be notifed,--
5062,5804.21.00,Mechanically made lace of man-made fibres,58,yet to be notifed,--
5063,5804.29.00,Mechanically made lace of other textile materials,58,yet to be notifed,--
5064,5804.30.00,Hand-made lace,58,yet to be notifed,--
5065,5805.00.00,Hand-woven tapestries wall hang use only,58,yet to be notifed,--
5066,5805.00.00,"Hand-woven tapestries, needle-worked tapestries",58,yet to be notifed,--
5067,5806.00.00,Narrow woven fabrics except labels etc in pc etc,58,yet to be notifed,--
5068,5806.10.00,"Other narrow woven fabrics, 5% or more of elastomeric yarn",58,yet to be notifed,--
5069,5806.10.00,"Pile fabrics and chenille fabrics, of narrow woven fabrics",58,yet to be notifed,--
5070,5806.31.00,Other narrow woven fabrics of cotton,58,yet to be notifed,--
5071,5806.31.20,Nawars,58,yet to be notifed,--
5072,5806.32.00,Other narrow woven fabrics of man-made fibres,58,yet to be notifed,--
5073,5806.39.00,Other narrow woven fabrics of other textile materials,58,yet to be notifed,--
5074,5806.40.00,Fabrics consisting of warp assembled by means of an adhesive(bolducs),58,yet to be notifed,--
5075,5807.00.00,"Labels, badges etc of textiles, in the pc etc",58,yet to be notifed,--
5076,5807.10.00,"Woven labels, badges and similar articles, not embroidered",58,yet to be notifed,--
5077,5807.90.00,"Other labels, badges of textile materials, not embroidered",58,yet to be notifed,--
5078,5808.00.00,"Braids in pc, ornamental trim in piece etc, tassels etc",58,yet to be notifed,--
5079,5808.10.00,Braids in the piece,58,yet to be notifed,--
5080,5808.90.00,"Ornamental trimmings in the piece; tassels, pompons and similar articles",58,yet to be notifed,--
5081,5809.00.00,Woven fabrics of metal thread & metallized yarn nec,58,yet to be notifed,--
5082,5809.00.00,"Woven fabrics of metal thread, of metallized yarn",58,yet to be notifed,--
5083,5810.00.00,"Embroidery in the piece, in strips or in motifs",58,yet to be notifed,--
5084,5810.10.00,"Embroidery without visible ground, in the piece, in strips or in motifs",58,yet to be notifed,--
5085,5810.91.00,"Embroidery of cotton, in the piece, in the strips or in motifs",58,yet to be notifed,--
5086,5810.92.00,"Embroidery of man-made fibres, in the piece, in the strips or in motifs",58,yet to be notifed,--
5087,5810.92.10,"Embroidered badges, motifs and thelike",58,yet to be notifed,--
5088,5810.92.20,Other embroidered articles,58,yet to be notifed,--
5089,5810.99.00,"Embroidery of other textile materials, in the piece, in the strips",58,yet to be notifed,--
5090,5811.00.00,Quilt tex prod pc 1> layer w/pad stch not embr h 5810,58,yet to be notifed,--
5091,5811.00.00,"Quilted textile products in the piece, other than embroidery",58,yet to be notifed,--
5092,5901.00.00,"Textile book covered fabric, tracing cloth, paint canvas",59,yet to be notifed,--
5093,5901.10.00,Textile fabrics coated with gum or amylaceous substances,59,yet to be notifed,--
5094,5901.90.00,Tracing cloth; prepared painting canvas; buckram,59,yet to be notifed,--
5095,5902.00.00,"Tire cord fabric of high tenacity yarn, nylon etc",59,yet to be notifed,--
5096,5902.10.00,Tyre cord fabric of high tenacity yarn of polyamides,59,yet to be notifed,--
5097,5902.20.00,Tyre cord fabric of high tenacity yarn of polyesters,59,yet to be notifed,--
5098,5902.90.00,Tyre cord fabric of high tenacity yarn of viscose rayon,59,yet to be notifed,--
5099,5903.00.00,"Textile fabrics (not tire cord) coat etc, plastics",59,yet to be notifed,--
5100,5903.10.00,"Textile fabrics impregnated, coated, covered with polyvinly chloride",59,yet to be notifed,--
5101,5903.20.00,"Textile fabrics impregnated, coated, covered with polyurethane",59,yet to be notifed,--
5102,5903.90.00,"Textile fabrics impregnated, coated, covered with other plastics",59,yet to be notifed,--
5103,5904.00.00,"Linoleum, floor cover with coat etc on a text base",59,yet to be notifed,--
5104,5904.10.00,Linoleum,59,yet to be notifed,--
5105,5904.91.00,"Floor coverings, with a base consisting of needleloom felt or nonwovens",59,yet to be notifed,--
5106,5904.92.00,"Floor coverings, with other textile base",59,yet to be notifed,--
5107,5905.00.00,Textile wall coverings,59,yet to be notifed,--
5108,5905.00.00,Textile wall coverings,59,yet to be notifed,--
5109,5906.00.00,"Rubberized textile fabrics, other than tire cordc",59,yet to be notifed,--
5110,5906.10.00,Adhesive tape of a width not exceeding 20cm,59,yet to be notifed,--
5111,5906.91.00,"Rubberised textile fabrics, knitted or crocheted",59,yet to be notifed,--
5112,5906.99.00,Other rubberised textile fabrics,59,yet to be notifed,--
5113,5907.00.00,"Textile fabric, coated, etc, theatrical scenery, back-cloths",59,yet to be notifed,--
5114,5907.00.00,"Textile fabrics otherwise impregnated, coated or cove",59,yet to be notifed,--
5115,5908.00.00,Textile wicks for lamps etc and gas mantles et,59,yet to be notifed,--
5116,5908.00.00,Textile wicks; incandescent gas mantles,59,yet to be notifed,--
5117,5909.00.00,Textile hosepiping and similar textile tubing,59,yet to be notifed,--
5118,5909.00.00,Textile hosepiping and similar textile tubing,59,yet to be notifed,--
5119,5909.00.30,Articles made of jute,59,yet to be notifed,--
5120,5910.00.00,"Transmission or conveyor belts or belting, of textile material",59,yet to be notifed,--
5121,5910.00.00,"Transmission/conveyor belts, tex matrl, whthr/not reinfrcd",59,yet to be notifed,--
5122,5911.00.00,Textile products etc. For specific tech uses nesoi,59,yet to be notifed,--
5123,5911.10.00,"Textile fabrics, for card clothing, for technical use",59,yet to be notifed,--
5124,5911.20.00,Bolting cloth,59,yet to be notifed,--
5125,5911.31.00,"Textile fabrics and felts, weighing less than 650g/m2",59,yet to be notifed,--
5126,5911.32.00,"Textile fabrics and felts, weighing 650g/m2 or more",59,yet to be notifed,--
5127,5911.40.00,Straining cloth of a kind used in oil presses and the like,59,yet to be notifed,--
5128,5911.90.00,"Other textile products and articles, for technical use",59,yet to be notifed,--
5129,6001.00.00,"File fabrics, knitted or crocheted",60,yet to be notifed,--
5130,6001.10.00,"Long pile fabrics, knitted or crocheted",60,yet to be notifed,--
5131,6001.21.00,"Looped pile fabrics of cotton, knitted or crocheted",60,yet to be notifed,--
5132,6001.22.00,"Looped pile fabrics of man-made fibres, knitted or crocheted",60,yet to be notifed,--
5133,6001.29.00,"Looped pile fabrics of other textile materials, knitted or crocheted",60,yet to be notifed,--
5134,6001.91.00,"Other pile fabrics of cotton, knitted or crocheted",60,yet to be notifed,--
5135,6001.92.00,"Other pile fabrics of man-made fibres, knitted or crocheted",60,yet to be notifed,--
5136,6001.99.00,"Other pile fabrics of other textile materials, knitted or crocheted",60,yet to be notifed,--
5137,6002.00.00,"Knitted or crocheted fabrics, nesoi",60,yet to be notifed,--
5138,6002.10.00,"Knitted or crocheted fabrics, of a width not exceeding 30cm",60,yet to be notifed,--
5139,6002.20.00,"Other knitted or crocheted fabrics, of a width not exceeding 30cm",60,yet to be notifed,--
5140,6002.30.00,"Knitted or crocheted fabrics, of a width exceeding 30cm",60,yet to be notifed,--
5141,6002.41.00,"Fabrics of warp knit, of wool or fine animal hair",60,yet to be notifed,--
5142,6002.42.00,"Fabrics of warp knit, of cotton",60,yet to be notifed,--
5143,6002.43.00,"Fabrics of warp knit, of man-made fibres",60,yet to be notifed,--
5144,6002.49.00,"Fabrics of warp knit, of other textile materials",60,yet to be notifed,--
5145,6002.91.00,Other knitted or crocheted fabrics of wool or fine animal hair,60,yet to be notifed,--
5146,6002.92.00,Other knitted or crocheted fabrics of cotton,60,yet to be notifed,--
5147,6002.93.00,Other knitted or crocheted fabrics of man-made fibres,60,yet to be notifed,--
5148,6002.99.00,Other knitted or crocheted fabrics,60,yet to be notifed,--
5149,6003.00.00,"Knitted of chrocheted fabrics of a width notexceeding 30 cm, other than of HSN heading Nos. 6001 or 6002",60,yet to be notifed,--
5150,6004.00.00,"Knitted of chrocheted fabrics of a width exceeding 30 cm, containing by weight 5% or more of elasto meric yarn or rubber thread, other than those of HSN heading No. 6001",60,yet to be notifed,--
5151,6005.00.00,"Wrap knitt fabrics (including those made on gallon knitting machines), other than thoe of HSN heading Nos. 6001 to 6004",60,yet to be notifed,--
5152,6006.00.00,Other knitted or chrocheted fabrics,60,yet to be notifed,--
5153,6101.00.00,Mass vestments   ,61,yet to be notifed,--
5154,6101.00.00,"Men's or boys' overcoats etc, knit or crochet",61,yet to be notifed,--
5155,6101.10.00,"Men's or boys' overcoats, car-coats, of wool, knitted or crocheted",61,yet to be notifed,--
5156,6101.20.00,"Men's boys' overcoats, car-coats, of cotton, knitted or crocheted",61,yet to be notifed,--
5157,6101.30.00,"Men's or boys' overcoats, of man-made fibres, knitted or crocheted",61,yet to be notifed,--
5158,6101.90.00,"Men's or boys' overcoats, of other textile materials, knitted or crocheted",61,yet to be notifed,--
5159,6102.00.00,"Women's or girls' overcoats etc, knit or crochet",61,yet to be notifed,--
5160,6102.10.00,"Women's or girls' overcoats, car-coats, of wool, knitted or crocheted610220 women's or girls' overcoats, car-coats, of cotton, knitted or crocheted",61,yet to be notifed,--
5161,6102.30.00,"Women's or girls' over coats, of man-made fibres, knitted or crocheted",61,yet to be notifed,--
5162,6102.90.00,"Women's overcoats of other textile materials, knitted or crocheted",61,yet to be notifed,--
5163,6103.00.00,"Men's or boys' suits, ensembles etc, knit or croch",61,yet to be notifed,--
5164,6103.11.00,"Men's or boys' suits of wool or fine animal hair, knitted or crocheted",61,yet to be notifed,--
5165,6103.12.00,"Men's or boys' suits of synthetic fibres, knitted or crocheted",61,yet to be notifed,--
5166,6103.19.00,"Men's or boys' suits of other textile materials, knitted or crocheted",61,yet to be notifed,--
5167,6103.21.00,"Men's boys' ensembles of wool, knitted or crocheted",61,yet to be notifed,--
5168,6103.22.00,"Men's or boys' ensembles of cotton, knitted or crocheted",61,yet to be notifed,--
5169,6103.23.00,"Men's or boys' ensembles of cotton, knitted or crocheted",61,yet to be notifed,--
5170,6103.29.00,"Men's or boys' ensembles of other textile materials, knitted or crocheted",61,yet to be notifed,--
5171,6103.31.00,"Men's or boys' jackets, blazers, of wool, knitted or crocheted",61,yet to be notifed,--
5172,6103.32.00,"Men's or boys' jackets, blazers, of cotton, knitted or crocheted",61,yet to be notifed,--
5173,6103.33.00,"Men's or boys' jackets, blazers, of synthetic fibres, knitted or crocheted",61,yet to be notifed,--
5174,6103.39.00,"Men's or boys' jackets, blazers, of other textile materials",61,yet to be notifed,--
5175,6103.41.00,"Men's or boys' trousers, breeches, overalls, of wool, knitted or crocheted",61,yet to be notifed,--
5176,6103.42.00,"Men's or boys' trousers, overalls, breeches, of cotton, knitted or crocheted",61,yet to be notifed,--
5177,6103.43.00,"Men's or boys' trousers, overalls, breeches, of synthetic fibres",61,yet to be notifed,--
5178,6103.49.00  ,"Men's trousers, breeches, of other textile materials, knitted or crocheted",61,yet to be notifed,--
5179,6104.00.00  ,"Women's or girls' suits, ensemb etc, knit or croch",61,yet to be notifed,--
5180,6104.11.00,"Women's or girls' suits of wool or fine animal hair,knitted or crocheted",61,yet to be notifed,--
5181,6104.12.00,"Women's or girls' suits of cotton, knitted or crocheted",61,yet to be notifed,--
5182,6104.13.00,"Women's or girls' suits of synthetic fibres, knitted or crocheted",61,yet to be notifed,--
5183,6104.19.00,"Women's or girls' suits of other textile materials, knitted or crocheted",61,yet to be notifed,--
5184,6104.21.00,"Women's or girls' ensembles of wool, knitted or crocheted",61,yet to be notifed,--
5185,6104.22.00,"Women's or girls' ensembles of cotton, knitted or crocheted",61,yet to be notifed,--
5186,6104.23.00,"Women's or girls' ensembles of synthetic fibres, knitted or crocheted610429 women's ensembles of other textile materials, knitted or crocheted",61,yet to be notifed,--
5187,6104.31.00,"Women's or girls' jackets of wool, knitted or crocheted",61,yet to be notifed,--
5188,6104.32.00,"Women's or girls' jackets of cotton, knitted or crocheted",61,yet to be notifed,--
5189,6104.33.00,"Women's or girls' jackets of synthetic fibres, knitted or crocheted",61,yet to be notifed,--
5190,6104.39.00,"Women's jackets of other textile materials, knitted or crocheted",61,yet to be notifed,--
5191,6104.41.00,"Women's or girls' dresses of wool, knitted or crocheted",61,yet to be notifed,--
5192,6104.42.00  ,"Women's or girls' dresses of cotton, knitted or crocheted",61,yet to be notifed,--
5193,6104.43.00,"Women's or girls' dresses of synthetic fibres, knitted or crocheted",61,yet to be notifed,--
5194,6104.44.00,"Women's or girls' dresses of artificial fibres, knitted or crocheted",61,yet to be notifed,--
5195,6104.49.00,"Women's dresses of other textile materials, knitted or crocheted",61,yet to be notifed,--
5196,6104.51.00,"Women's or girls, skirts, divided skirts, or wool, knitted or crocheted",61,yet to be notifed,--
5197,6104.52.00,"Women's or girls' skirts, divided skirts, of cotton, knitted or crocheted",61,yet to be notifed,--
5198,6104.53.00,"Women's skirts, divided skirts, of synthetic fibres, knitted or crocheted",61,yet to be notifed,--
5199,6104.59.00,"Women's or girls' skirts, divided skirts, of other textile materials",61,yet to be notifed,--
5200,6104.61.00,"Women's or girls' trousers, breeches, of wool, knitted or crocheted",61,yet to be notifed,--
5201,6104.62.00  ,"Women's or girls' trousers, breeches, of cotton, knitted or crocheted",61,yet to be notifed,--
5202,6104.63.00,"Women's trousers, breeches, of synthetic fibres, knitted or crocheted610469 women's or girls' trousers, breeches of other textile materials",61,yet to be notifed,--
5203,6105.00.00,"Men's or boys' shirts, knitted or crocheted",61,yet to be notifed,--
5204,6105.10.00  ,"Men's or boys' shirts of cotton, knitted or crocheted",61,yet to be notifed,--
5205,6105.20.00,"Men's or boys' shirts of man-made fibres, knitted or crocheted",61,yet to be notifed,--
5206,6105.90.00,"Men's or boys' shirts of other textile materials, knitted or crocheted",61,yet to be notifed,--
5207,6106.00.00,"Women's or girls' blouses & shirts, knit or croch",61,yet to be notifed,--
5208,6106.10.00,"Women's or girls' blouses, shirts, of cotton, knitted or crocheted",61,yet to be notifed,--
5209,6106.20.00,"Women's blouses, shirts, of man-made fibres, knitted or crocheted",61,yet to be notifed,--
5210,6106.90.00,"Women's or girls, blouses, shirts, of other textile materials",61,yet to be notifed,--
5211,6107.00.00,"Men's or boys' underpants, pjs, etc, knit or croch",61,yet to be notifed,--
5212,6107.11.00,"Men's or boys' underpants, briefs, of cotton, knitted or crocheted",61,yet to be notifed,--
5213,6107.12.00,"Men's underpants, briefs, of man-made fibres, knitted or crocheted",61,yet to be notifed,--
5214,6107.19.00,"Men's underpants, briefs, of other textile materials, knitted or crocheted",61,yet to be notifed,--
5215,6107.21.00,"Men's or boys' nightshirts, pyjamas, of cotton, knitted or crocheted",61,yet to be notifed,--
5216,6107.22.00,"Men's nightshirts, pyjamas, of man-made fibres, knitted or crocheted",61,yet to be notifed,--
5217,6107.29.00,"Men's or boys' nightshirts, pyjamas, of other textile materials",61,yet to be notifed,--
5218,6107.91.00,"Men's or boys' bathrobes, dressing gowns, of cotton, knitted or crocheted",61,yet to be notifed,--
5219,6107.92.00,"Men's bathrobes, dressing gowns, of man-made fibres, knitted or crocheted",61,yet to be notifed,--
5220,6107.99.00,"Mens's or boys' bathrobes, dressing gowns, of other textile materials",61,yet to be notifed,--
5221,6108.00.00,"Women's or girls' slips, pjs, etc, knit or crochet",61,yet to be notifed,--
5222,6108.11.00,"Women's slips, petticoats, of man-made fibres, knitted or crocheted",61,yet to be notifed,--
5223,6108.19.00,"Women's or girls' slips, petticoats, of other textile materials",61,yet to be notifed,--
5224,6108.21.00,"Women's or girls' briefs, panties, knitted or crocheted",61,yet to be notifed,--
5225,6108.22.00,"Women's briefs, panties, of man-made fibres, knitted or crocheted",61,yet to be notifed,--
5226,6108.29.00,"Women's briefs, panties, of other textile materials,knitted or crocheted",61,yet to be notifed,--
5227,6108.31.00,"Women's or girls' nightdresses, pyjamas, of cotton, knitted or crocheted",61,yet to be notifed,--
5228,6108.32.00,"Women's nightdresses, pyjamas, of man-made fibres, knitted or crocheted",61,yet to be notifed,--
5229,6108.39.00,"Women's or girls' nightdresses, pyjamas, of other textile materials",61,yet to be notifed,--
5230,6108.90.00,"Women's negligees, bathrobes, of manmade fibres, knitted or crocheted610899 women's or girls' negligees, bathrobes, of other textile materials",61,yet to be notifed,--
5231,6108.91.00,"Women's or girls' negligees, bathrobes, of cotton, knitted or crocheted",61,yet to be notifed,--
5232,6109.00.00,"T-shirts, singlets, tank tops etc, knit or crochet",61,yet to be notifed,--
5233,6109.10.00,"T-shirts, singlets, other vests, knitted or crocheted, of cotton",61,yet to be notifed,--
5234,6109.90.00,"T-shirts, singlets, and other vests, of other textile materials",61,yet to be notifed,--
5235,6110.00.00,"Sweaters, pullovers, vests etc, knit or crocheted",61,yet to be notifed,--
5236,6110.10.00,"Sweaters, pullovers, sweatshirts, waistcoats (vests),knitted or crocheted, of wool",61,yet to be notifed,--
5237,6110.20.00,"Sweaters, pullovers, sweatshirts, waistcoats (vests), knitted or crocheted, of cotton",61,yet to be notifed,--
5238,6110.30.00,"Sweaters, pullovers, sweatshirts, waistcoats (vests), knitted or crocheted, of manmade fibers",61,yet to be notifed,--
5239,6110.90.00,"Sweaters, pullovers, sweatshirts, waistcoats (vests), knitted or crocheted, of other textile",61,yet to be notifed,--
5240,6111.00.00,"Babies' garments & accessories, knit or crocheted",61,yet to be notifed,--
5241,6111.10.00,"Babies' garments and accessories, of wool, knitted or crocheted",61,yet to be notifed,--
5242,6111.20.00,"Babies' garments and accessories, of cotton, knitted or crocheted",61,yet to be notifed,--
5243,6111.30.00,"Babies' garments and accessories, of synthetic fibres",61,yet to be notifed,--
5244,6111.90.00,"Babies' garments and accessories, of other textile materials",61,yet to be notifed,--
5245,6112.00.00,"Track suits, ski-suits & swimwear, knit or crochet",61,yet to be notifed,--
5246,6112.11.00,"Track suits of cotton, knitted or crocheted",61,yet to be notifed,--
5247,6112.12.00,"Track suits of cotton, knitted or crocheted",61,yet to be notifed,--
5248,6112.19.00,"Track suits of other textile materials, knitted or crocheted",61,yet to be notifed,--
5249,6112.20.00,"Ski suits, knitted or crocheted",61,yet to be notifed,--
5250,6112.31.00,"Men's or boys' swimwear, of synthetic fibres, knitted or crocheted",61,yet to be notifed,--
5251,6112.39.00,"Men's or boys' swimwear, of other textile materials, knitted or crocheted",61,yet to be notifed,--
5252,6112.41.00,"Women's or girls' swimwear, of synthetic fibres, knitted or crocheted",61,yet to be notifed,--
5253,6112.49.00,"Women's swimwear, of other textile materials, knitted or crocheted",61,yet to be notifed,--
5254,6113.00.00,"Garments, knit etc, coated etc rubber, plastic etc",61,yet to be notifed,--
5255,6113.00.00,"Garments, knitted or crocheted",61,yet to be notifed,--
5256,6114.00.00,"Garments nesoi, knitted or crocheted",61,yet to be notifed,--
5257,6114.10.00,"Other garments of wool or fine animal hair, knitted or crocheted",61,yet to be notifed,--
5258,6114.20.00,"Other garments of cotton, knitted or crocheted",61,yet to be notifed,--
5259,6114.30.00,"Other garments of man-made fibres, knitted or crocheted",61,yet to be notifed,--
5260,6114.90.00,"Other garments of other textile materials, knitted or crocheted",61,yet to be notifed,--
5261,6115.00.00,"Pantyhose, socks & other hosiery, knit or crochet",61,yet to be notifed,--
5262,6115.11.00,"Panty hose, tights, of synthetic fibres, single yarn less than 67 decitex",61,yet to be notifed,--
5263,6115.12.00,"Panty hose, tights, of synthetic fibres, single yarn 67 decitex or more",61,yet to be notifed,--
5264,6115.19.00,"Panty hose, tights, of other textile materials, knitted or crocheted",61,yet to be notifed,--
5265,6115.20.00,"Women's full-length or knee-length hosiery, knitted or crocheted",61,yet to be notifed,--
5266,6115.91.00,"Stockings, socks, of wool or fine animal hair, knitted or crocheted",61,yet to be notifed,--
5267,6115.92.00,"Stockings, socks, of cotton, knitted or crocheted",61,yet to be notifed,--
5268,6115.93.00,"Stockings, socks, of synthetic fibres, knitted or crocheted",61,yet to be notifed,--
5269,6115.99.00,"Stockings, socks, of other textile materials, knitted or crocheted",61,yet to be notifed,--
5270,6116.00.00,"Gloves, mittens and mitts, knitted or crocheted",61,yet to be notifed,--
5271,6116.10.00,"Gloves impregnated, coated or covered with plastics or rubber",61,yet to be notifed,--
5272,6116.91.00,"Gloves, mittens, mitts, of wool or fine animal hair, knitted or crocheted",61,yet to be notifed,--
5273,6116.92.00,"Gloves, mittens, mitts, of cotton, knitted or crocheted",61,yet to be notifed,--
5274,6116.93.00,"Gloves, mittens, mitts, of synthetic fibres, knitted or crocheted",61,yet to be notifed,--
5275,6116.99.00,"Gloves, mittens, mitts, of other textile materials, knitted or crocheted",61,yet to be notifed,--
5276,6117.00.00,Made-up clothing access nesoi. Parts etc. Knit etc,61,yet to be notifed,--
5277,6117.10.00,"Shawls, scarves, mufflers, mantillas, veils, knitted or crocheted",61,yet to be notifed,--
5278,6117.20.00,"Ties, bow ties, cravats, knitted or crocheted",61,yet to be notifed,--
5279,6117.80.00,"Other made up clothing accessories, knitted or crocheted",61,yet to be notifed,--
5280,6117.90.00,Knitted or crocheted parts of garments or of clothing accessories,61,yet to be notifed,--
5281,6201.00.00,"Men's or boys' overcoats, cloaks etc, not knit etc",62,yet to be notifed,--
5282,6201.11.00,"Men's or boys' overcoats, raincoats, car-coats, capes, of wool",62,yet to be notifed,--
5283,6201.12.00,"Men's or boys' overcoats, raincoats, car-coats, capes, cloaks, of cotton",62,yet to be notifed,--
5284,6201.13.00,"Men's or boys' overcoats, raincoats, car-coats, capes, of man-made fibres",62,yet to be notifed,--
5285,6201.19.00,"Men's or boys' overcoats, raincoats, car-coats, of other textile materials",62,yet to be notifed,--
5286,6201.91.00,"Men's or boys' anoraks, wind-cheaters, wind-jackets, of wool",62,yet to be notifed,--
5287,6201.92.00,"Men's or boys' anoraks, wind-cheaters, wind-jackets, of cotton",62,yet to be notifed,--
5288,6201.93.00,"Men's or boys' anoraks, wind-cheaters, wind-jackets, of man-made fibres",62,yet to be notifed,--
