NUMBER,HSN_CODE,NAME_OF_COMMODITY,CHAPTER_NO,SUB_CHAPTER,GST_PERCENTAGE_INDIA
131,0302.40.00,"Herrings (clupea harengus, clupea pallasii), excluding livers and roes",3,I,NIL
132,0302.50.00,"Cod (gadus morhua, gadus ogac, gadus macrocephalus), excluding livers and roes other fish, excluding livers and roes:",3,I,NIL
133,0302.61.00,"Sardines (sardina pilchardus, sardinops spp), sardinella (sardinella spp), brisling or sprats(sprattus sprattus)",3,I,NIL
134,0302.62.00,Haddock (melanogrammus aeglefinus),3,I,NIL
135,0302.63.00,Atlantic pollock (coalfish) (pollachius virens),3,I,NIL
136,0302.64.00,"Mackerel (scomber scombrus, scomber australasicus, scomb er japonicus)",3,I,NIL
137,0302.65.00,"Dogfish and other sharks, dogfish (squalus spp)",3,I,NIL
138,0302.66.00,Eels (anguilla spp),3,I,NIL
139,0302.69.00,"Sablefish (anoplopoma fimbria),lingcod (ophiodon elongatus), monkfish (lophius spp)",3,I,NIL
140,0302.70.00,"Livers and roes, mullet roe",3,I,NIL
141,0303.00.00,"Fish, Frozen (excluding fish fillets and other fish meat)",3,II,5%
142,0303.10.00,"Pacific salmon (oncorhynchus spp), excludinglivers and roes:",3,II,5%
143,0303.11.00,Chinook (king),3,II,5%
144,0303.12.00,Chum (dog),3,II,5%
145,0303.13.00,Pink (humpie),3,II,5%
146,0303.14.00,Sockeye (red),3,II,5%
147,0303.15.00,Coho (silver),3,II,5%
148,0303.16.00,"Other , other salmonidae, excluding livers and roes:",3,II,5%
149,0303.21.00,"Trout (salmo trutta, salmo gairdneri, salmo, clarki, salmo aguabonita, salmo gilae)",3,II,5%
150,0303.22.00,Tlantic salmon (salmo salar) and danube salmon (hucho hucho),3,II,5%
151,0303.29.00,"Other flat fish (pleuronectidae, bothidae, cynoglossidae,soleidae, scophthalmidae and citharidae), excluding livers and roes:",3,II,5%
152,0303.31.00,"Halibut and greenland turbot (reinhardtius, hippoglossoides,hippoglossus hippoglossus, hippoglossus stenolepis):",3,II,5%
153,0303.32.00,Plaice (pleuronectes platessa),3,II,5%
154,0303.33.00,Sole (solea spp),3,II,5%
155,0303.39.00,"Tunas (of genus thunnus), skipjack or stripe-bellied bonito (euthynnus (katsuwonus pelamis), excluding livers and roes:",3,II,5%
156,0303.41.00,Albacore or longfinned tunas (thunnus alalunga),3,II,5%
157,0303.42.00  ,Yellowfin tunas (thunnus albacares),3,II,5%
158,0303.43.00  ,Skipjack or stripe-bellied bonito,3,II,5%
159,0303.49.00,Bluefin (thunnus thynnus),3,II,5%
160,0303.50.00,"Herrings (clupea harengus, clupea pallasii),excluding livers and roes",3,II,5%
161,0303.60.00,"Cod (gadus morhua, gadus ogac, gadus macrocephalus), other fish, excluding livers and roes:",3,II,5%
162,0303.71.00,"Sardines (sardina pilchardus, sardinops spp), sardinella (sardinella spp), brisling or sprats(sprattus sprattus)",3,II,5%
163,0303.72.00,Haddock (melanogrammus aeglefinus),3,II,5%
164,0303.73.00,Atlantic pollock (pollachius virens),3,II,5%
165,0303.74.00,"Mackerel (scomber scombrus, scomber australasicus, scomber japonicus)",3,II,5%
166,0303.75.00,"Dogfish and other sharks, dogfish (squalus spp)",3,II,5%
167,0303.76.00,Eels (anguilla spp),3,II,5%
168,0303.77.00,"Sea bass (dicentrarchus labrax, dicentrarchus punctatus)",3,II,5%
169,0303.78.00,Whiting (merluccius spp) and hake (urophycis spp),3,II,5%
170,0303.79.00,"Tilapia (tilapiinae), mullet , monkfish (lophius spp), butterfish, sablefish (anoplopoma fimbria)",3,II,5%
171,0303.80.00,"Livers and roes sturgeon roe , herring roe, salmon roe alaska pollock (theragra chalcogramma) roe mullet roe",3,II,5%
172,0304.00.00,"Fish fillets and other fish meat (whether or not minced), fresh or chilled",3,I,NIL
173,0304.00.00,"Fish fillets and other fish meat (whether or not minced), frozen",3,II,5%
174,0304.10.00,Fresh or chilled: tilapia (tilapiinae),3,I,NIL
175,0304.10.00,Frozen: tilapia (tilapiinae) ,3,II,5%
176,0304.11.00,Sword fish (Xiphias gladius) - fresh or chilled,3,I,NIL
177,0304.21.00,Sword fish (Xiphias gladius) - frozen,3,II,5%
178,0304.12.00,Tooth fish (Dissostichus spp.) - fresh or chilled,3,I,NIL
179,0304.22.00,Tooth fish (Dissostichus spp.) - frozen,3,II,5%
180,0304.19.00,"Other - Hilsa, shark, seer, tuna, cuttlefish - fresh or chilled",3,I,NIL
181,0304.29.00,"Other - Hilsa, shark, seer, tuna, cuttlefish - frozen",3,II,5%
182,0304.20.00,"Frozen fillets: cod halibut , fresh-water catfish, tilapia (tilapiinae) alaska pollock (theragra chalcogramma)",3,II,5%
183,0304.90.00,"Other: minced: surim, alaska pollock (theragra chalcogramma) - fresh or chilled",3,I,NIL
184,0304.90.00,"Other: minced: surim, alaska pollock (theragra chalcogramma) - frozen",3,II,5%
185,0305.00.00,"Fish, dried, salted or in brine; smoked fish; whether or not cooked before or during the smoking process; flours, meals and pellets, of fish fit for human consumption",3,II,5%
186,0305.10.00,"Flours, meals and pellets of fish, fit for human consumption",3,II,5%
187,0305.20.00,"Livers and roes, dried, smoked, salted or in brine, salmon roe, herring roe",3,II,5%
188,0305.30.00,"Fish fillets, dried, salted or in brine, but not smoked smoked fish, including fillets:",3,II,5%
189,0305.41.00,"Pacific salmon (oncorhynchus spp), atlantic salmon (salmo salar) and danube salmon (hucho hucho)",3,II,5%
190,0305.42.00,"Herrings (clupea harengus, clupea pallasii)",3,II,5%
191,0305.49.00,"Other, dried fish, whether or not salted but not smoked:",3,II,5%
192,0305.51.00,"Cod (gadus morhua, gadus ogac, gadus macrocephalus)",3,II,5%
193,0305.59.00,"Other fish, salted but not dried or smoked and fish in brin",3,II,5%
194,0305.61.00,"Herrings (clupea harengus, clupea pallasii)",3,II,5%
195,0305.62.00,"Cod (gadus morhua, gadus ogac, gadus macrocephalus)",3,II,5%
196,0305.63.00,Anchovies (engraulis spp),3,II,5%
197,0305.69.00,Other fish (salted or in brine),3,II,5%
198,0306.00.00,"Crustaceans, whether in shell or not, live, fresh or chilled; crustaceans, in shell, cokked by steaming or by boiling in water, chilled",3,I,NIL
199,0306.00.00,"Crustaceans, whether in shell or not, frozen, dried, salted or in brine; crustaceans, in shell, cooked by steaming or by boiling in water, frozen, dried, salted or in brine; flours, meals and pellets of crustaceans, fit for human consumption.",3,II,5%
200,0306.11.00,Rock lobster and other sea crawfish - frozen,3,II,5%
201,0306.21.00,Rock lobster and other sea crawfish - not frozen,3,I,NIL
202,0306.12.00,Lobsters (homarus spp)- frozen,3,II,5%
203,0306.22.00,Lobsters (homarus spp) - not forzen,3,I,NIL
204,0306.13.00,Shrimps and prawns - frozen,3,II,5%
205,0306.23.00,Shrimps and prawns - not frozen,3,I,NIL
206,0306.14.00,Crabs: crabmeat - frozen,3,II,5%
207,0306.24.00,Crabs: crabmeat - not frozen,3,I,NIL
208,0306.19.00,"Other, including flours, meals and pellets of crustaceans, fit for human consumption - frozen",3,II,5%
209,0306.29.00,"Other, including flours, meals and pellets of crustaceans, fit for human consumption - not frozen",3,II,5%
210,0307.00.00  ,"Molluscs, whether in shell or not, live, fresh or chilled; auatic inverterbrates other than crustaceans and molluscs live, fresh, chilled",3,I,NIL
211,0307.00.00  ,"Molluscs, whether in shell or not, frozen, dried, salted or in brine; auatic invertebrates other than crustaceans and molluscs, frozen, dried, salted or in brine; flours, meals and pellets of aquatic invertebra other than crustaceans, fit for human consumption.",3,II,5%
212,0307.10.00,"Oysters - Live, fresh or chilled",3,I,NIL
213,0307.14.00,"Other, scallops, including queen scallops, of the genera pecten, chlamys or placopecten - live, fresh or chilled",3,I,NIL
214,0307.29.00,"Other, mussels (mytilus spp, perna spp): live, fresh or chilled:",3,I,NIL
215,0307.31.00,"Farmed, cuttle fish (sepia officinalis, rossia macrosoma,sepiola spp) and squid (ommastrephes spp, loligo spp, nototodarus spp, sepioteuthis spp): live, fresh and chilled",3,I,NIL
216,0307.39.10,"Clams, clam meat - live, fresh and chilled",3,I,NIL
217,0307.41.00,"Live, fresh or chilled: squid: loligo",3,I,NIL
218,0307.49.00,"Squid: frozen fillets, loligo: loligo opalescens, loligo pealei, octopus (octopus spp):",3,II,5%
219,0307.49.10,"Squid tubes, frozen",3,II,5%
220,0307.49.20,"Whole squids, frozen",3,II,5%
221,0307.49.30,Dried squids,3,II,5%
222,0307.51.00,"OctopusLive, fresh or chilled",3,I,NIL
223,0307.60.00,"Snails, other than sea snails, other, including flours, meals and pellets of aquatic invertebrates other than crustaceans, fit for human consumption:",3,II,5%
224,0307.91.00,"Live, fresh or chilled: sea urchin: roe, conch",3,I,NIL
225,0307.99.00,"Live, fresh or chilled: sea urchin: roe, conch: Other",3,I,NIL
226,0307.99.20,"Jelly fish, dried, salted or frozen",3,II,5%
227,0307.99.90,"Jelly fish, dried, salted or frozen: Other",3,II,5%
228,0308.00.00  ,"Aquatic invertebrates other than crustaceans and molluscs, live, fresh or chilled; ",3,I,NIL
229,0308.00.00  ,"Aquatic invertebrates other than crustaceans and molluscs, frozen, dried, salted or in brine; smoked aquatic invertebrates other than crustaceans and molluscs, whether or not cooked before or during the smoking process; flours meals and pellets of aquatic invertebrates other than crustaceans and molluscs, fit for human consumption.",3,II,5%
230,0401.00.00,"Fresh milk and pateurised milk, including separated milk, milk and cream, not concentrated nor containing added sugar or other sweetening matter  (Excluding Ultra high temperature (UTH) milk",4,I,NIL
231,0401.00.00,Ultra high temperature (UTH) milk,4,II,5%
232,0401.10.00,"Fresh Milk of a fat content, by weight, not exceeding 1 percent liters",4,I,NIL
233,0401.20.00,"Fresh milk of a fat content, by weight, exceeding 1 percent but not exceeding 6 percent liters",4,I,NIL
234,0401.30.00,"Fresh milk of a fat content, by weight, exceeding 6 percent liters",4,I,NIL
235,0402.00.00,"Milk and cream, concentrated or containing added sugar or other sweetening matter including skimmed milk powder, milk food for babies, excluding condensed milk",4,II,5%
236,0402.10.00,"In powder, granules or other solid forms, of a fat content,by weight, not exceeding 15 percent in powder, granules or other solid forms, of a fat content, by weight, exceeding 15percent",4,II,5%
237,0402.10.10,Skimmed milk powder and UHT milk,4,II,5%
238,0402.10.20,"Milk and cream in powder, granules or other solid forms, of a fat content by weight not exceeding 1.5% - Milk food for babies",4,II,5%
239,0402.10.90,"Milk and cream in powder, granules or other solid forms, of a fat content by weight not exceeding 1.5% - Other",4,II,5%
240,0402.21.00,"Milk and cream in powder, granules or other solid forms, of a fat content by weight exceeding 1.5% -  Not containing added sugar or other sweetening matter",4,II,5%
241,0402.29.00,"Milk, cream (sweetened, fat content exceeding 1.5%)",4,II,5%
242,0402.29.10,"Whole Milk (sweetened, fat content exceeding 1.5%)",4,II,5%
243,0402.29.20,"Milk powder for babies (sweetened, fat content exceeding 1.5%)",4,II,5%
244,0402.91.00  ,Not containing added sugar or other sweetening matter,4,II,5%
245,0402.91.10  ,Condensed milk - Not containing added sugar or other sweetening matter,4,IV,18%
246,0402.99.20,Condensed milk - Not containing added sugar or other sweetening matter,4,IV,18%
247,0402.99.00,"Milk, cream (concentrated or sweetened)(Other whole milk)",4,II,5%
248,0403.00.00,"Cream, yogurt, kephir and other fermented or acidified milk and cream, wheter or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit, nuts or cocoa.",4,II,5%
249,0403.10.00,Yogurt,4,II,5%
250,0403.90.00,Buttermilk,4,I,NIL
251,0403.90.00,Curd,4,I,NIL
252,0403.90.00,Lassi,4,I,NIL
253,0404.00.00,"Whey , whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter not elsewhere specified or included.",4,II,5%
254,0404.10.00,"Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter: modified whey: whey protein concentrates.",4,II,5%
255,0404.90.00,Other products consisting of natural milk constituents,4,II,5%
256,0405.00.00,"Butter and other fats (ghee, butter oil etc.,)  and oils derived from milk; dairy spreads",4,III,12%
257,0405.10.00,Butter,4,III,12%
258,0405.20.00,Dairy spreads,4,III,12%
259,0405.90.10,Butter oil,4,III,12%
260,0405.90.20,Ghee,4,III,12%
261,0406.00.00,Chena or paneer,4,I,NIL
262,0406.00.00,Chena or paneer put up in unit container and bearing a registered brand name,4,II,5%
263,0406.10.00,Curd (Fresh),4,I,NIL
264,0406.10.00,"Fresh (unripened or uncured) cheese, including whey cheese",4,III,12%
265,0406.20.00,"Grated or powdered cheese, of all kinds",4,III,12%
266,0406.30.00,"Processed (process) cheese, not grated or powdered (Cottage Cheese (Paneer))",4,III,12%
267,0406.40.00  ,Blue-veined cheese,4,III,12%
268,0406.90.00,"Other cheese: cheddar cheese , colby , other, including mixtures",4,III,12%
269,0407.00.00,"Birds' eggs, in shell, fresh, preserved or cooked:",4,I,NIL
270,0407.00.00,"Birds' eggs, in the shell, fresh, preserved or cooked",4,I,NIL
271,0407.00.10,Sepcies gallus domesticus and ducks for hatching,4,I,NIL
272,0407.00.20,Eggs of the species gallus amd ducks other that for hatching,4,I,NIL
273,0407.00.90,"Birds' eggs, in shell, fresh, preserved or cooked:Other",4,I,NIL
274,0407.20.00,"Birds' eggs, in shell, fresh, preserved or cooked: For hatching doz",4,I,NIL
275,0407.40.00,"Birds' eggs, in shell, fresh, preserved or cooked: Other doz",4,I,NIL
276,0408.00.00,"Birds eggs, not in shell, and egg yolks, fresh, dried, cooked by styeaming or by boiling in water, moulded, frozen or otherwise preserved whether or not containing added sugar or other sweetening matter.",4,II,5%
277,0408.11.00,Egg yolks (dried),4,II,5%
278,0408.19.00,"Egg yolks (fresh, frozen, other preserved; not dried)",4,II,5%
279,0408.99.00,"Birds' eggs (not in shell; frozen, preserved or cooked)",4,II,5%
280,0409.00.00,"Natural Honey, other than put up in unit containiner and bearing a registered brand name",4,I,NIL
281,0409.00.00,"Natural Honey, put up in unit containiner and bearing a registered brand name",4,II,5%
282,0409.10.00,Natural honey,4,I,NIL
283,0409.20.00,Packaged for retail sale,4,II,5%
284,0410.00.00,"Edible products of animal origin, not elsewhere specified or included",4,II,5%
285,0410.00.10,Edible products of wild animal,4,II,5%
286,0410.00.20,Edible products of Turtle eggs and Salanganes nests,4,II,5%
287,0410.00.90,"Edible products of animal origin, nesoi: Other",4,II,5%
288,0501.00.00,"Human hair, unworked , whether or not washed or scoured; waste of human hair",5,I,NIL
289,0501.00.10,"Human hair unworked, whether or not washed or scoured",5,I,NIL
290,0501.00.20,Human hair waste,5,I,NIL
291,0502.00.00,"Pigs', hogs' or boars' bristles and hair ; badger hair and other brush making hair; waste of such bristles or hair.",5,II,5%
292,0502.10.10,"Pigs', hogs' or boars' bristles and hair ",5,II,5%
293,0502.10.00,"Waste of Pigs', hogs' or boars' bristles and hair ",5,II,5%
294,0502.90.10,Badger hair and other brushmaking hair ,5,II,5%
295,0502.90.20,Yak hair and other brushmaking hair ,5,II,5%
296,0503.00.00,"Horsehair (as defined in note 4) and horsehair waste, whether or not put up as a layer with or without supporting material",5,II,5%
297,0504.00.00,"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof; fresh, chilled, frozen, salted, in brine, dried or smoked",5,II,5%
298,0504.00.10,"Guts of cattle fornatural food casings  fresh, chilled, frozen, salted, in brine, dried or smoked",5,II,5%
299,0504.00.20,"Guts of cattle sheep and goats for natural food casings  fresh, chilled, frozen, salted, in brine, dried or smoked",5,II,5%
300,0504.00.31,Guts of other wild animals for natural food casings,5,II,5%
301,0504.40.00  ,"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof: prepared for use as sausage casings:",5,II,5%
302,0505.00.00,"Skins and other parts of birds, with their feathers or down, feathers and parts of feathers (whether or not with trimmed edges) and down, notfurther worked than cleaned, disinfected or treate for preservation; powder and waste of feathers or parts of feathers",5,II,5%
303,0505.10.10,Feathers of a kind used for stuffing; down of wild birds,5,II,5%
304,0505.90.10,Peacock tail and wind feather (trimmed or not),5,II,5%
305,0505.90.21,Other feather (excluding for stuffing pupose) of wild birds,5,II,5%
306,0505.90.31,Powder and waste of feathers or other parts of feathers of wild birds,5,II,5%
307,0505.90.91,Skins and other parts of birds of wild birds,5,II,5%
308,0506.00.00,"Bones & horn cores, unworked , defatted, simply prepared (but not cut to shape), treated with acid or glatinised; powder and waste of these products.",5,II,5%
309,0506.10.00,Ossein and bones treated with acid,5,II,5%
310,0506.10.11,"Bones including horn cores, crushed of wild animlas",5,II,5%
311,0506.10.21,Bone grist of wild animals,5,II,5%
312,0506.10.31,Ossein of wild animals,5,II,5%
313,0506.10.41,"Bones, hon-cones and parts thereof, not crushed: of wild animals",5,II,5%
314,0506.90.11,Bone meal of wild animals,5,II,5%
315,0506.90.91,"Bones, horn-cores (unworked, defatted, degelatinized); powder and waste of wild animals",5,II,5%
316,0507.00.00,"Ivory, tortoise-shell, whalebone, and wharebone hair, horns, antlers, hoovers, nails, claws and beaks, unworked or simply prepared but not cut to shape; powder and waste of these products",5,II,5%
317,0507.10.20,Ivory powder and waste,5,II,5%
318,0507.90.00,"Tortoise-shell, whalebone, antlers, hooves, claws; their powder and waste",5,II,5%
319,0507.90.10,Hoof meal powder and waste,5,II,5%
320,0507.90.30,"Hooves, claws, nails and beaks powder and waste",5,II,5%
321,0507.90.40,Antlers powder and waste,5,II,5%
